GeneName;baseMean;log2FC;pval;padj
Pdhb;79.02835975;-0.055962704;0.657139375;0.99995239
Rbm14;40.3510914;-0.098082926;0.657191852;0.99995239
Ndrg3;133.8460647;0.12348635;0.657197611;0.99995239
Pop5;23.85197847;-0.143147513;0.657197816;0.99995239
Etfb;2.032499419;0.617347108;0.657297618;0.99995239
Pfdn2;74.24600818;-0.059230288;0.657301313;0.99995239
Nup153;148.9702515;-0.027601569;0.657361373;0.99995239
Arl14epl;1.853161235;0.641679267;0.657362134;0.99995239
Kirrel3;3.347646102;-0.491587264;0.657413191;0.99995239
Csnk1g3;54.9970431;0.165423026;0.657465984;0.99995239
Msra;12.01565833;0.294766357;0.657595697;0.99995239
Dock6;38.49793017;-0.101404953;0.657649616;0.99995239
Riox2;23.5530815;-0.144012732;0.657811124;0.99995239
2210406O10Rik;4.901910363;-0.38970765;0.657860098;0.99995239
Pinx1;7.412644939;-0.30282562;0.657877342;0.99995239
Mgea5;172.5831124;-0.022120489;0.657970177;0.99995239
Dgka;11.71676136;0.297425078;0.658065264;0.99995239
Faim;19.78697964;-0.161834952;0.658116401;0.99995239
Sec23b;76.2785076;-0.057455818;0.658278733;0.99995239
Lsm10;7.472424334;-0.300867063;0.658280974;0.99995239
Ypel1;7.472424334;-0.300867063;0.658280974;0.99995239
C130071C03Rik;9.265806174;0.32680593;0.658501875;0.99995239
Ulk2;23.19440513;-0.145081146;0.658540007;0.99995239
Hmgb3;6.037718862;-0.342443824;0.658558978;0.99995239
Gjb4;6.037718862;-0.342443824;0.658558978;0.99995239
Phf20l1;172.1048773;0.114214927;0.658766551;0.99995239
Mtch2;114.7166584;0.129098975;0.65893772;0.99995239
Uevld;18.89028872;0.24537833;0.659047076;0.99995239
Smarcd1;36.22631317;-0.105404627;0.659086104;0.99995239
Tprgl;44.47586963;-0.090187766;0.659101114;0.99995239
Vangl1;16.08065717;0.261378809;0.659116359;0.99995239
Nat6;7.651762518;-0.295190051;0.659436858;0.99995239
Zfp574;18.83050932;-0.166304417;0.659510012;0.99995239
01-mars;2.331396392;-0.607064481;0.659528649;0.99995239
Unk;46.92682482;0.174180131;0.659562201;0.99995239
Stxbp4;62.34990864;-0.068274244;0.659571877;0.99995239
Hlcs;30.18859431;-0.120051403;0.659684789;0.99995239
4930562C15Rik;5.021469152;-0.381404346;0.659686282;0.99995239
Gm19221;6.456174624;0.378016099;0.659704039;0.99995239
Ube2f;47.28550118;-0.085698147;0.659705136;0.99995239
Dcaf12;68.3876275;0.152672421;0.659721466;0.99995239
Cops7b;22.59661119;-0.146939092;0.659736221;0.99995239
Mpv17l;18.65117114;-0.167195129;0.659755563;0.99995239
Atp8b5;1.912940629;-0.684232342;0.659765343;0.99995239
Gm38250;1.912940629;-0.684232342;0.659765343;0.99995239
Snapc2;22.53683179;-0.147130444;0.659854481;0.99995239
Cdh17;4.423675206;0.441917324;0.660183711;0.99995239
Epor;1.374926077;0.721816374;0.660226881;0.99995239
Gopc;59.54027709;-0.070767412;0.660231684;0.99995239
C8g;2.450955181;0.565898231;0.660437931;0.99995239
Safb;143.7694442;-0.028180151;0.660598544;0.99995239
Tmem250-ps;33.83513738;-0.110072337;0.660604672;0.99995239
Rbm8a;94.98945813;0.136604172;0.660753002;0.99995239
1700008J07Rik;3.467204891;-0.475099141;0.660828656;0.99995239
Cep120;31.20484402;0.201605928;0.660881181;0.99995239
Tbc1d2;7.950659491;-0.286342149;0.661191917;0.99995239
A730017L22Rik;10.99940862;-0.233789506;0.661263193;0.99995239
Gm9825;21.75969966;-0.149716177;0.66136722;0.99995239
Ddt;6.336615835;-0.328736788;0.661523922;0.99995239
Mrpl57;11.1787468;-0.231126802;0.661575592;0.99995239
Gm13372;2.271616997;0.582413318;0.661647588;0.99995239
Otulin;33.41668162;-0.110497096;0.661746298;0.99995239
Slc4a7;173.8982591;0.113240825;0.6618101;0.99995239
Lgals8;46.74748663;0.173512344;0.661880843;0.99995239
Zfp553;19.78697964;0.239263356;0.661963032;0.99995239
Ttc39b;102.5216619;0.132926337;0.662130287;0.99995239
Kif3c;47.64417755;0.172234937;0.662153616;0.99995239
Virma;167.9203196;-0.022121003;0.662330362;0.99995239
Stxbp5;48.54086847;0.171003655;0.662394945;0.99995239
Gm43604;2.391175787;-0.591122937;0.662470952;0.99995239
Topors;131.933124;0.12278013;0.662483702;0.99995239
Fgfrl1;30.54727068;0.20239516;0.662601909;0.99995239
Faap20;16.02087777;-0.182637023;0.662626699;0.99995239
Dmap1;21.04234692;-0.152277091;0.662718804;0.99995239
Fuom;6.814850992;0.366684627;0.662800806;0.99995239
Elf3;1.733602445;0.650431741;0.662847667;0.99995239
Rad1;15.24374564;0.264487153;0.662866013;0.99995239
Atxn1l;130.0799628;-0.031512876;0.662875466;0.99995239
Mis18bp1;22.05859663;0.228863244;0.662925747;0.99995239
Gm13443;4.304116416;-0.413584752;0.662927025;0.99995239
Slc33a1;43.16072295;-0.09060536;0.662927243;0.99995239
Thtpa;8.309335859;-0.2766276;0.663042675;0.99995239
Slc27a1;30.96572644;-0.116078129;0.66307925;0.99995239
D130007C19Rik;2.929190339;-0.521334607;0.663191479;0.99995239
Hspb8;43.04116416;-0.090644594;0.663277665;0.99995239
Eif1b;12.97212864;-0.208744377;0.663367558;0.99995239
Hacd1;9.744041331;0.316189068;0.663379097;0.99995239
Usp1;207.9127347;-0.014838149;0.663415011;0.99995239
Mmaa;15.96109838;0.259359085;0.663417472;0.99995239
Nsdhl;14.5263929;-0.194007346;0.663443606;0.99995239
Hyls1;13.86881956;-0.199821139;0.663545464;0.99995239
Gm45716;1.972720024;-0.661512265;0.663650253;0.99995239
Vwa5a;58.3446892;-0.070649163;0.663759397;0.99995239
Tmem209;125.1780524;0.124424935;0.663923408;0.99995239
Spta1;3.58676368;-0.459878404;0.663996779;0.99995239
Gm12751;3.58676368;-0.459878404;0.663996779;0.99995239
Polr1b;37.95991562;-0.099450167;0.663998447;0.99995239
Pdcd4;113.2221735;0.128326035;0.664060108;0.99995239
Isca2;18.11315659;0.24633029;0.664142067;0.99995239
Araf;71.85483239;-0.058657492;0.66419654;0.99995239
Ccdc71;32.5199907;-0.111444555;0.664201093;0.99995239
Crk;195.5384;0.109021097;0.664271966;0.99995239
Ikbke;8.608232833;-0.269194842;0.664395112;0.99995239
Sox11;8.608232833;-0.269194842;0.664395112;0.99995239
Cd74;5.260586731;0.406533122;0.664408791;0.99995239
Gm49204;3.347646102;0.491134745;0.664430779;0.99995239
Gm7240;10.40161467;0.307055227;0.664462849;0.99995239
Prdm8;5.38014552;-0.358949495;0.664587146;0.99995239
Dync1i2;141.1989302;-0.027904866;0.66460191;0.99995239
Vamp7;55.41549886;-0.073440507;0.664632307;0.99995239
Zeb1;165.2302469;0.114332625;0.664672944;0.99995239
Cacfd1;25.88447789;-0.130869406;0.664753747;0.99995239
Zfp110;32.34065252;0.197112277;0.664796385;0.99995239
Timp1;30.3081531;-0.116947865;0.664833182;0.99995239
Tnrc6b;191.4734011;0.109549397;0.664885263;0.99995239
Ncaph;87.5170338;0.139069428;0.665002364;0.99995239
Tmem176a;118.901216;0.126124422;0.665104113;0.99995239
8030451A03Rik;2.988969734;-0.510952589;0.665252803;0.99995239
Gm16244;2.450955181;-0.576120774;0.665262716;0.99995239
Aco2;221.3630985;-0.012538006;0.665376657;0.99995239
Dlst;153.3939267;-0.024644689;0.665412199;0.99995239
Dctn6;41.5466793;0.179548594;0.665466127;0.99995239
Nxf1;171.6578262;-0.020194915;0.665473712;0.99995239
Fabp7;4.782351574;0.421701103;0.665578096;0.99995239
Smcr8;129.6017276;0.122651709;0.665835435;0.99995239
Elp5;42.14447324;-0.090945986;0.665919838;0.99995239
Strbp;48.06263331;-0.081943023;0.66600879;0.99995239
Ifi207;5.559483704;0.39551868;0.666100739;0.99995239
Smc2;210.3039105;-0.013953621;0.666109751;0.99995239
Sptssa;43.34006114;0.176500553;0.666295364;0.99995239
Rala;60.01851225;-0.067953741;0.6664605;0.99995239
Obsl1;25.16712516;-0.13244809;0.666476335;0.99995239
Gorasp2;97.91864847;-0.042602433;0.666543259;0.99995239
Vipas39;41.66623809;0.178875108;0.666648739;0.99995239
Tnfrsf1b;74.96336092;0.145842657;0.666680196;0.99995239
Msantd2;18.71095053;-0.161997467;0.66673188;0.99995239
Slc46a3;3.168307918;0.499310529;0.666904364;0.99995239
Rnase10;3.168307918;0.499310529;0.666904364;0.99995239
Daxx;50.39402971;0.16695742;0.667151349;0.99995239
Thop1;57.2088807;-0.070532258;0.667154396;0.99995239
Ddah1;80.7021828;0.142174009;0.667158876;0.99995239
Nemp2;17.21646567;0.249380261;0.667182358;0.99995239
Ppp3cb;94.15254661;0.135204136;0.667186205;0.99995239
Shroom1;3.048749128;-0.501047593;0.667227571;0.99995239
Tsnax;73.16997908;-0.056650207;0.667268488;0.99995239
Ppp1r12c;51.29072063;0.16588041;0.667269617;0.99995239
Pogk;50.4538091;-0.078260132;0.667289019;0.99995239
Gm42940;2.032499419;-0.64045065;0.667296732;0.99995239
Gm17300;2.032499419;-0.64045065;0.667296732;0.99995239
Map1s;50.39402971;-0.078262162;0.667469392;0.99995239
Pls3;251.133237;-0.008468081;0.667611842;0.99995239
Zc3h12a;36.70454833;-0.100239871;0.667630651;0.99995239
Ppp1ca;222.0804512;-0.011997377;0.66770376;0.99995239
Ifnar1;132.530918;0.121372927;0.667735573;0.99995239
Zbtb48;13.4503638;0.274575971;0.667741973;0.99995239
Ube2s;56.96976312;-0.070507054;0.667874681;0.99995239
Gm14326;10.22227649;0.306497621;0.667893279;0.99995239
Tpcn2;12.79279046;0.280015332;0.667901584;0.99995239
Lockd;16.55889232;0.252651565;0.668081772;0.99995239
Mapre1;227.2214791;-0.011248228;0.668087216;0.99995239
Kdm8;7.17352736;-0.296939833;0.668105516;0.99995239
Hps6;7.17352736;-0.296939833;0.668105516;0.99995239
Rnf34;38.19903319;-0.097013867;0.668147587;0.99995239
Ginm1;31.08528523;-0.11307564;0.668151068;0.99995239
Repin1;18.35227416;0.242555972;0.668282211;0.99995239
Oas1a;1.614043656;0.66041583;0.668373006;0.99995239
mt-Th;1.614043656;0.66041583;0.668373006;0.99995239
Gm37422;7.831100702;0.341238346;0.66839927;0.99995239
Taz;21.46080269;-0.146537283;0.668498474;0.99995239
Dnajc27;21.40102329;-0.146737613;0.668621369;0.99995239
Slc25a19;15.54264261;0.258634427;0.668695978;0.99995239
Arap3;1.79338184;0.631269484;0.668697834;0.99995239
Uso1;267.034556;-0.00657574;0.668781235;0.99995239
Drp2;35.15028407;0.189344296;0.668799755;0.99995239
Trmt2a;80.64240341;-0.051108487;0.668961061;0.99995239
Pars2;6.994189176;0.356866264;0.669044861;0.99995239
Fsd1;10.1027177;-0.239024461;0.669106903;0.99995239
A630052C17Rik;3.108528523;-0.491587264;0.669120661;0.99995239
Fbxl15;4.662792784;-0.38467206;0.669143575;0.99995239
P3h4;62.88792319;-0.064259813;0.669177786;0.99995239
C1d;34.43293133;-0.104367709;0.669186763;0.99995239
Pvr;42.56292901;-0.088758822;0.669255727;0.99995239
3222401L13Rik;2.988969734;0.508412736;0.669287882;0.99995239
Thoc6;23.97153726;-0.135293555;0.669313632;0.99995239
Gm10524;5.798601283;-0.336612604;0.669372303;0.99995239
Baz2a;174.1971561;-0.019280888;0.669604095;0.99995239
Tbc1d8b;134.9818732;0.120242367;0.669706916;0.99995239
Btaf1;141.0793714;-0.02668276;0.669820921;0.99995239
Ldah;86.3812253;0.138263432;0.669833417;0.99995239
Nedd8;54.9970431;-0.071852978;0.669884992;0.99995239
Spag7;28.39521247;-0.119710527;0.66994661;0.99995239
Gm26606;7.472424334;-0.287446547;0.669955401;0.99995239
Isca1;44.59542842;0.17320871;0.670045203;0.99995239
1110012L19Rik;16.25999535;-0.175327919;0.670052379;0.99995239
Cpox;65.0399814;-0.062036935;0.670107473;0.99995239
Nelfe;43.7585169;0.174279306;0.670308328;0.99995239
Rmnd5a;131.5744477;0.121003001;0.670432608;0.99995239
Zfp532;14.94484867;0.261446699;0.670538903;0.99995239
2010111I01Rik;26.42249244;0.209689139;0.670568477;0.99995239
Epb41l4aos;5.918160072;-0.330866953;0.670581865;0.99995239
Scrn2;10.93962922;-0.225927389;0.670606055;0.99995239
AU040320;77.77299247;-0.052357665;0.670721337;0.99995239
Gsto2;2.092278813;-0.620870281;0.670725477;0.99995239
Agfg1;97.20129573;0.13285564;0.670743055;0.99995239
Cep78;20.32499419;-0.150550346;0.670782674;0.99995239
Uckl1;11.11896741;-0.223391153;0.670844714;0.99995239
Sik1;20.26521479;-0.150774349;0.670899693;0.99995239
Srl;21.46080269;0.22677309;0.670954556;0.99995239
Dtd1;7.651762518;-0.282133898;0.670959831;0.99995239
Fbxl2;7.651762518;-0.282133898;0.670959831;0.99995239
Chmp2b;74.18622879;0.145012042;0.670973439;0.99995239
Dusp4;15.30352504;-0.181732001;0.670986042;0.99995239
Uqcrb;33.77535799;-0.104914656;0.671088396;0.99995239
Chst15;11.35808499;-0.220140618;0.671122607;0.99995239
Cenpo;21.10212632;0.228110187;0.671199155;0.99995239
Brf1;46.0301339;0.170785955;0.671270386;0.99995239
Suv39h2;14.88506927;-0.184802655;0.671311963;0.99995239
Alkbh5;194.7612678;0.107768527;0.671321887;0.99995239
Mgrn1;109.7549686;-0.036257059;0.671332378;0.99995239
Zfp960;2.80963155;0.518608503;0.671558194;0.99995239
Mcm10;45.19322237;0.171779446;0.67158469;0.99995239
Lipe;21.87925845;0.224734021;0.671603769;0.99995239
Pcnx4;46.50836905;0.170010728;0.671654799;0.99995239
Metap1;74.0068906;-0.054576429;0.671679238;0.99995239
Atp6v1e1;62.05101167;-0.064094766;0.671707433;0.99995239
Slc25a47;6.037718862;-0.325370311;0.671728694;0.99995239
Mbtd1;60.37718862;0.155198952;0.671731342;0.99995239
Creg1;38.61748896;-0.094527505;0.671734525;0.99995239
Ddrgk1;40.05219443;0.17928914;0.671798262;0.99995239
Ccdc47;164.8715705;0.112887796;0.671844826;0.99995239
Zc3hc1;31.68307918;-0.109590026;0.671846726;0.99995239
2810414N06Rik;4.842130968;-0.372005648;0.671848941;0.99995239
2310039H08Rik;4.842130968;-0.372005648;0.671848941;0.99995239
Zfp213;12.43411409;-0.207133874;0.671872177;0.99995239
Pik3cd;11.65698196;0.287663476;0.671902831;0.99995239
Lrguk;4.423675206;0.428242388;0.671977963;0.99995239
Lcn2;150.8831921;0.11580949;0.672003496;0.99995239
Amigo3;3.70632247;0.461107021;0.672010248;0.99995239
Dbnl;84.04982891;-0.048101335;0.672046723;0.99995239
Atg7;38.49793017;-0.094583687;0.672093812;0.99995239
Cox7c;40.05219443;-0.09170199;0.672183291;0.99995239
Uqcr11;35.15028407;-0.101296427;0.67218441;0.99995239
Atp6v0c;111.787468;0.126760285;0.672192091;0.99995239
Nek4;25.28668395;-0.128638276;0.672212605;0.99995239
Nipbl;421.8631882;0.004923957;0.672333468;0.99995239
Rps6ka2;39.99241503;-0.091724758;0.672364317;0.99995239
Ube2z;138.1501811;-0.026849635;0.672376819;0.99995239
Cpeb3;16.43933353;0.250614979;0.672402185;0.99995239
Fam50a;67.84961295;0.148926309;0.672472748;0.99995239
Ttc41;7.950659491;-0.273851205;0.672474689;0.99995239
Sdc2;280.1262434;0.097542608;0.672522152;0.99995239
Hcfc1r1;56.85020433;0.158143026;0.672585953;0.99995239
Ar;6.157277651;-0.320106796;0.672816298;0.99995239
Gm6136;2.630293365;-0.535981383;0.672836707;0.99995239
Fdps;2.630293365;-0.535981383;0.672836707;0.99995239
Gm16364;2.630293365;-0.535981383;0.672836707;0.99995239
Proz;2.630293365;-0.535981383;0.672836707;0.99995239
Pgp;39.81307685;-0.091793477;0.672908098;0.99995239
Ubl5;31.26462341;-0.11003742;0.673040766;0.99995239
Ube2j2;51.29072063;-0.074869281;0.673078272;0.99995239
Siah1b;19.0696269;-0.155557639;0.67316134;0.99995239
Pmepa1;53.92101399;-0.071759406;0.673179143;0.99995239
Cers4;8.129997675;-0.269194842;0.673295585;0.99995239
Usp18;11.71676136;0.286020315;0.673313617;0.99995239
Pqlc2;12.3743347;0.279811827;0.673337994;0.99995239
Fam20b;146.3997375;-0.024482143;0.673368626;0.99995239
Gm13577;4.005219443;-0.4147185;0.673447627;0.99995239
Foxk2;109.9940862;-0.03558112;0.673478899;0.99995239
2810410L24Rik;4.961689758;-0.364126355;0.673522293;0.99995239
Tph1;1.016249709;0.790183705;0.673623965;0.99995239
Mdfi;1.016249709;0.790183705;0.673623965;0.99995239
Dcaf5;93.79387024;0.133574431;0.673642668;0.99995239
Ap2a1;82.67490283;0.139120972;0.673677898;0.99995239
Ipo9;350.6061497;0.001025449;0.673685396;0.99995239
Impa1;83.45203496;-0.04789956;0.673790811;0.99995239
Srrm2;1193.077159;0.022137497;0.673797431;0.99995239
Mtmr4;70.95814147;-0.056034307;0.673843791;0.99995239
Tmem101;18.65117114;-0.157380839;0.673913309;0.99995239
Nlrx1;2.152058208;-0.602618576;0.673954779;0.99995239
Pon2;37.30234227;0.183012449;0.674012469;0.99995239
Actr10;134.3840792;0.119380632;0.674089697;0.99995239
Atxn7l3b;174.8547294;0.110535788;0.674092588;0.99995239
Iws1;95.82636966;0.132538691;0.674097389;0.99995239
Scamp1;68.50718629;-0.057788836;0.674144228;0.99995239
Ercc6;40.29131201;0.177897146;0.674211484;0.99995239
Gdpd2;1.733602445;-0.686603246;0.674281204;0.99995239
Glyctk;1.733602445;-0.686603246;0.674281204;0.99995239
Gm34220;1.853161235;0.613110115;0.674362998;0.99995239
Zfp606;15.84153959;0.252980053;0.67442343;0.99995239
C230034O21Rik;1.673823051;0.63965727;0.674507901;0.99995239
Gm49322;1.673823051;0.63965727;0.674507901;0.99995239
Usf3;155.6057643;0.114223529;0.674510247;0.99995239
Nudt12;22.83572876;0.21946552;0.674557486;0.99995239
Cep135;30.72660886;-0.11063076;0.674580205;0.99995239
Fam46c;17.9935978;0.240577344;0.674584777;0.99995239
Cd34;271.9364664;-0.005088581;0.674609089;0.99995239
S100a16;12.43411409;0.278292953;0.674688438;0.99995239
Otud6b;115.5535699;-0.033173755;0.674876422;0.99995239
Tmie;5.081248547;-0.356657684;0.6750997;0.99995239
E030030I06Rik;2.69007276;-0.524008741;0.675123624;0.99995239
Snrnp27;32.34065252;-0.106185999;0.675270866;0.99995239
Adam8;2.869410944;0.508412736;0.675584632;0.99995239
Sim1;2.450955181;0.543178154;0.675635076;0.99995239
1700018A04Rik;5.798601283;0.378819829;0.675678831;0.99995239
Gm14303;4.124778232;-0.403714508;0.675752129;0.99995239
Fam193a;74.42534636;0.143357393;0.675799896;0.99995239
Gale;5.141027942;-0.3530674;0.675854431;0.99995239
Fam172a;32.10153494;-0.106409053;0.675972342;0.99995239
Il34;8.847350411;-0.252580129;0.676005991;0.99995239
Clcf1;44.77476661;-0.082339853;0.676048807;0.99995239
Lrrc49;23.73241968;-0.132116134;0.676113005;0.99995239
Armc2;6.635512808;0.35785306;0.676128958;0.99995239
Gtf2b;41.78579687;-0.086906557;0.676234888;0.99995239
Sf3a1;92.35916477;-0.042407003;0.676250589;0.99995239
Tpd52;67.90939235;0.147655771;0.676250867;0.99995239
Orc3;65.39865777;-0.05950728;0.67635942;0.99995239
Lsm12;76.99586034;-0.051014672;0.67638483;0.99995239
Intu;23.73241968;0.215267542;0.67642262;0.99995239
Atg16l1;41.66623809;-0.086936383;0.676605736;0.99995239
Sec24c;132.4113592;0.119267056;0.676838599;0.99995239
Cetn4;9.146247385;-0.246474766;0.676899291;0.99995239
Mettl22;5.260586731;-0.346156824;0.677299653;0.99995239
Phex;2.749852155;-0.512648879;0.677304396;0.99995239
Larp6;2.271616997;0.558165771;0.677357253;0.99995239
Ndufa11;16.49911293;-0.168265934;0.67736112;0.99995239
Gm12454;1.195587893;0.730805158;0.677383625;0.99995239
Dnah6;1.195587893;0.730805158;0.677383625;0.99995239
Lzts1;1.195587893;0.730805158;0.677383625;0.99995239
Rps13-ps4;1.195587893;0.730805158;0.677383625;0.99995239
Ftx;16.43933353;-0.168610317;0.677444908;0.99995239
Pus10;29.71035915;-0.111810869;0.677500455;0.99995239
Zc3h11a;31.3841822;0.193338312;0.67752019;0.99995239
Eif2d;25.7649191;0.208079789;0.677576038;0.99995239
Pex11a;15.30352504;0.254367114;0.677579434;0.99995239
Naa20;31.80263796;0.192348347;0.677621057;0.99995239
Senp5;159.7305426;-0.020423173;0.677733675;0.99995239
Stradb;16.20021596;-0.170014119;0.677772423;0.99995239
Rfx7;89.13107745;0.134602442;0.677780387;0.99995239
Ercc8;6.814850992;-0.294729935;0.677873712;0.99995239
Med29;9.564703147;-0.238606523;0.677951064;0.99995239
Mdfic;85.30519619;-0.04554438;0.677999526;0.99995239
Adrb2;5.858380678;0.374829582;0.678013351;0.99995239
Gm19710;4.304116416;0.425950576;0.678142872;0.99995239
Gtf2e2;47.22572179;0.166563947;0.678193873;0.99995239
Nsf;48.2419715;-0.076549764;0.678345921;0.99995239
Pde6b;1.79338184;-0.661512265;0.67840485;0.99995239
Rerg;1.79338184;-0.661512265;0.67840485;0.99995239
Wipf2;49.49733879;-0.07480843;0.67866765;0.99995239
Vamp2;34.67204891;-0.099111919;0.678709467;0.99995239
Cnp;27.43874215;0.202633409;0.678743948;0.99995239
Sat1;161.165248;-0.019883912;0.678790053;0.99995239
Bach1;48.1821921;0.165146611;0.678841439;0.99995239
Zadh2;40.94888535;-0.087119006;0.678841694;0.99995239
Coa5;89.31041564;-0.043141506;0.67890394;0.99995239
Tssc4;17.51536264;0.240446035;0.678905953;0.99995239
Fzd8;16.7980099;0.244351136;0.678984135;0.99995239
2610037D02Rik;3.467204891;-0.442677663;0.678994732;0.99995239
Arf6;114.5970996;0.124069394;0.679020925;0.99995239
Psmd13;49.37778;-0.074804217;0.679044583;0.99995239
Mapk8ip3;193.0874448;0.106516337;0.679074374;0.99995239
Prc1;76.33828699;0.141154642;0.679084326;0.99995239
Amt;9.08646799;0.312147343;0.679085413;0.99995239
Spats2;54.9372637;0.157679992;0.679117177;0.99995239
Plcxd2;12.97212864;0.27042346;0.67919422;0.99995239
Bub1;63.66505532;0.149900873;0.679245463;0.99995239
Rab28;58.3446892;-0.064772597;0.67930296;0.99995239
Plcd4;2.80963155;-0.501855599;0.679385674;0.99995239
Abhd12;45.13344298;-0.080376544;0.679388113;0.99995239
Kbtbd2;59.54027709;0.153272862;0.679457197;0.99995239
Serpina3g;1.374926077;0.685290498;0.679470349;0.99995239
Zfp526;10.99940862;0.288631528;0.679502659;0.99995239
Spryd7;19.30874448;-0.149845274;0.679693308;0.99995239
Synj2bp;46.50836905;0.166881237;0.679694651;0.99995239
Mpdu1;14.46661351;-0.181631811;0.679722141;0.99995239
Dnph1;14.46661351;-0.181631811;0.679722141;0.99995239
Mcmbp;76.99586034;-0.049914638;0.679760284;0.99995239
Rab30;23.19440513;0.215321097;0.679806725;0.99995239
Pcdhga3;1.912940629;0.595875578;0.679853656;0.99995239
Lgi2;2.271616997;-0.569589776;0.679878209;0.99995239
Nkain2;2.271616997;-0.569589776;0.679878209;0.99995239
Tbc1d7;14.22749593;-0.183464968;0.679922186;0.99995239
Pbld2;4.363895811;-0.383731274;0.67992417;0.99995239
Necab1;2.510734576;0.531132813;0.680076628;0.99995239
Gm26595;2.510734576;0.531132813;0.680076628;0.99995239
Ccdc28a;13.86881956;-0.18633791;0.680185116;0.99995239
Csad;32.46021131;-0.10336643;0.68021518;0.99995239
Grk5;59.18160072;0.153317777;0.680240817;0.99995239
Coasy;13.74926077;-0.187330195;0.680262294;0.99995239
2510009E07Rik;27.55830094;0.201531768;0.68029221;0.99995239
4930402H24Rik;35.80785741;-0.095947637;0.680297146;0.99995239
Gm14325;11.35808499;0.284331965;0.68030283;0.99995239
Top3b;81.24019736;-0.047127433;0.680334592;0.99995239
Gm12868;1.554264261;0.649275272;0.680379831;0.99995239
Usp44;1.554264261;0.649275272;0.680379831;0.99995239
Zfhx3;149.6876043;0.11422159;0.680420725;0.99995239
Cox15;38.91638593;-0.089908147;0.680457166;0.99995239
Fance;13.33080501;-0.190949137;0.68048822;0.99995239
Ggact;11.65698196;-0.208146647;0.68056499;0.99995239
Hdac11;11.89609954;-0.205379745;0.680648304;0.99995239
Dna2;18.83050932;-0.151756109;0.680661688;0.99995239
Ncapd3;86.56056348;-0.044039726;0.68067821;0.99995239
Wdr11;46.08991329;-0.078422179;0.680793619;0.99995239
Ralgps2;11.71676136;0.280283945;0.681012298;0.99995239
Gm16365;7.352865544;-0.277597283;0.68104921;0.99995239
Trip6;81.00107978;0.137758602;0.681390223;0.99995239
Mib2;44.05741387;0.169418896;0.681415714;0.99995239
Crebzf;93.73409084;-0.040207917;0.681455015;0.99995239
Pde4a;38.55770956;-0.090032994;0.681584228;0.99995239
Gfpt1;191.8918569;-0.013670579;0.681607109;0.99995239
Zfp418;3.646543075;0.452144517;0.681631451;0.99995239
Ypel5;82.01732949;0.13710359;0.681725319;0.99995239
Klhdc8a;192.1907539;0.106132649;0.681746368;0.99995239
Trappc13;80.7619622;-0.046954982;0.681768688;0.99995239
Dhx35;21.40102329;-0.138300776;0.681813985;0.99995239
Dgat1;22.17815542;0.217897594;0.681849722;0.99995239
Prr11;36.88388651;-0.093011011;0.681942511;0.99995239
Cybrd1;2.331396392;0.544938612;0.682050797;0.99995239
Pnkp;15.54264261;0.249810577;0.682188431;0.99995239
Grtp1;23.79219908;-0.128211884;0.682207614;0.99995239
Wdr34;7.591983123;-0.270818585;0.682233434;0.99995239
Car14;1.076029104;0.753525234;0.682241114;0.99995239
Kdm6bos;1.076029104;0.753525234;0.682241114;0.99995239
Dpp3;53.62211702;-0.068530316;0.682246225;0.99995239
A930005H10Rik;5.738821888;-0.321662262;0.682318425;0.99995239
Taok2;69.70277419;0.144427903;0.682332885;0.99995239
Ssu72;27.97675671;-0.11402447;0.682515799;0.99995239
Nol10;73.05042029;0.142127415;0.682576129;0.99995239
Raph1;88.05504835;-0.042670766;0.682595761;0.99995239
Ttbk2;50.39402971;0.161163456;0.682615162;0.99995239
1110008L16Rik;17.81425961;-0.156166933;0.682630406;0.99995239
Mmp23;4.543233995;-0.370280968;0.682714469;0.99995239
Lrrc51;4.543233995;-0.370280968;0.682714469;0.99995239
Mrps34;5.798601283;-0.318910602;0.682869386;0.99995239
Spry1;19.96631782;0.22624647;0.682876021;0.99995239
Prtg;8.608232833;0.315767658;0.682958671;0.99995239
Pgam1;339.4274029;0.091397665;0.682969371;0.99995239
Slc10a3;17.57514203;-0.157281037;0.683073757;0.99995239
Slc9a5;59.60005649;-0.062151491;0.68311514;0.99995239
1500009L16Rik;3.646543075;-0.422324601;0.683129603;0.99995239
Sppl3;64.38240806;-0.057916913;0.683199203;0.99995239
Zfp101;26.18337487;0.203945611;0.683205014;0.99995239
Tm7sf3;39.03594472;0.176137399;0.683206411;0.99995239
Tirap;17.45558324;-0.157849867;0.683292308;0.99995239
1700001K19Rik;2.988969734;0.489047411;0.683396558;0.99995239
Cryzl1;46.0301339;0.166042844;0.683404178;0.99995239
Hspa4;596.2396824;0.012902708;0.683405579;0.99995239
Rab21;137.7317253;-0.024283627;0.683468209;0.99995239
G3bp2;235.0525798;-0.007418967;0.683531172;0.99995239
Iqcg;4.60301339;-0.366056382;0.683586496;0.99995239
Gm20300;23.25418453;-0.129429324;0.683622507;0.99995239
Slc39a13;45.19322237;-0.078459354;0.683657653;0.99995239
Gm26890;2.152058208;0.560880156;0.683775637;0.99995239
Zfp781;2.152058208;0.560880156;0.683775637;0.99995239
Gpatch11;42.26403203;-0.082684551;0.683982843;0.99995239
Tmem263;99.53269213;0.12828277;0.684014982;0.99995239
